title,store,sells,price,Unnamed: 0
尼凯恩+en3,尼凯恩旗舰店,437710.0,69.0,0.0
纽曼+m560,创于佳讯数码专营店,413460.0,69.0,1.0
荣耀+8x,荣耀官方旗舰店,251777.0,999.0,2.0
apple+iphone8plus,苏宁易购官方旗舰店,234144.0,4388.0,3.0
apple+iphonexr,苏宁易购官方旗舰店,234032.0,4588.0,4.0
apple+iphone8,苏宁易购官方旗舰店,166090.0,3488.0,5.0
荣耀+10,荣耀官方旗舰店,150328.0,1099.0,6.0
华为+畅享9plus,华为官方旗舰店,142201.0,1299.0,7.0
纽曼+,纽曼深圳专卖店,134918.0,59.0,8.0
尼凯恩+,淘杰翔数码专营店,128633.0,59.0,9.0
天语+r7,天语强宇专卖店,124929.0,68.9,10.0
创星+s1,炜广天成数码专营店,116419.0,58.0,11.0
vivo+z5x,vivo官方旗舰店,109432.0,1198.0,12.0
纽曼+,慕尚年华数码专营店,96256.0,168.0,13.0
荣耀+v30,荣耀官方旗舰店,92563.0,2099.0,14.0
华为+畅享8,华为官方旗舰店,91292.0,499.0,15.0
荣耀+v20,荣耀官方旗舰店,90166.0,2399.0,16.0
华为+p30,华为官方旗舰店,84275.0,4488.0,17.0
oppo+k1,oppo官方旗舰店,81695.0,1299.0,18.0
vivo+iqoo,vivo官方旗舰店,78310.0,2098.0,19.0
华为+p30,华为官方旗舰店,77153.0,3388.0,20.0
华为+nova5pro,华为官方旗舰店,71967.0,2499.0,21.0
华为+mate20pro,华为官方旗舰店,66105.0,4599.0,22.0
荣耀+20i,荣耀官方旗舰店,65831.0,999.0,23.0
纽曼+,青柠时代数码专营店,59668.0,109.0,24.0
oppo+r17,oppo官方旗舰店,58186.0,1799.0,25.0
vivo+z5x,vivo官方旗舰店,49183.0,1398.0,26.0
红米+note8,小米官方旗舰店,42738.0,1199.0,27.0
荣耀+8x,荣耀官方旗舰店,41266.0,999.0,28.0
华为+畅享9,华为官方旗舰店,39466.0,599.0,29.0
红米+note8,小米官方旗舰店,39465.0,899.0,30.0
荣耀+8x,苏宁易购官方旗舰店,35417.0,999.0,31.0
华为+mate30pro,华为官方旗舰店,35357.0,6399.0,32.0
纽曼+,纯林伟业数码专营店,34478.0,78.0,33.0
荣耀+10,荣耀官方旗舰店,31477.0,1399.0,34.0
华为+畅享10plus,华为官方旗舰店,30692.0,1299.0,35.0
荣耀+8x,荣耀官方旗舰店,30421.0,999.0,36.0
荣耀+20pro,荣耀官方旗舰店,29639.0,2699.0,37.0
vivo+iqoo,vivo官方旗舰店,29370.0,2098.0,38.0
荣耀+v20,荣耀官方旗舰店,27812.0,1699.0,39.0
oppo+a5,oppo官方旗舰店,26180.0,699.0,40.0
荣耀+20,荣耀官方旗舰店,24213.0,599.0,41.0
纽曼+,深圳易乐购数码专营店,23215.0,78.0,42.0
华为+nova5,华为官方旗舰店,23172.0,1799.0,43.0
apple+iphone11,苏宁易购官方旗舰店,23067.0,5499.0,44.0
华为+mate30,华为官方旗舰店,22153.0,4999.0,45.0
华为+畅享9,龙通店,22004.0,488.0,46.0
荣耀+v20,荣耀官方旗舰店,21925.0,2399.0,47.0
红米+8a,小米官方旗舰店,21371.0,599.0,48.0
华为+nova5,华为官方旗舰店,21224.0,2099.0,49.0
华为+mate30pro,华为官方旗舰店,21177.0,5799.0,50.0
红米+7a,小米官方旗舰店,21017.0,539.0,51.0
vivo+z5x,vivo官方旗舰店,20602.0,1098.0,52.0
vivo+x27,vivo官方旗舰店,20414.0,2498.0,53.0
美图+t9,美图旗舰店,20123.0,999.0,54.0
魅族+16,魅族官方旗舰店,19084.0,1598.0,55.0
红米+k20pro,heatlinda,19066.0,1298.0,56.0
纽曼+,纽曼世腾专卖店,19016.0,118.0,57.0
华为+mate30,华为官方旗舰店,18336.0,3999.0,58.0
红米+note8,heatlinda,17416.0,925.0,59.0
魅族+16x,魅族官方旗舰店,17388.0,1098.0,60.0
荣耀+8x,三际数码官方旗舰店,17295.0,888.0,61.0
apple+iphone7plus,唯美气质淑女日韩馆,17272.0,1800.0,62.0
华为+nova5,华为官方旗舰店,17224.0,1599.0,63.0
红米+k20pro,小米官方旗舰店,17116.0,2799.0,64.0
apple+iphonexr,苏宁易购官方旗舰店,16778.0,4799.0,65.0
vivo+u1,vivo官方旗舰店,16563.0,799.0,66.0
oppo+k5,苏宁易购官方旗舰店,16315.0,1799.0,67.0
红米+7a,龙通店,16043.0,478.0,68.0
vivo+iqoo,苏宁易购官方旗舰店,16035.0,1298.0,69.0
魅族+16,魅族官方旗舰店,16034.0,1798.0,70.0
华为+mate30pro,小淘器数码专营店,15938.0,779.0,71.0
vivo+iqoo,vivo官方旗舰店,15922.0,3298.0,72.0
oppo+k5,oppo官方旗舰店,15502.0,1799.0,73.0
荣耀+8x,苏宁易购官方旗舰店,15378.0,899.0,74.0
小米+cc9,小米官方旗舰店,15220.0,1699.0,75.0
华为+畅享9,华为官方旗舰店,15210.0,999.0,76.0
oppo+r17,oppo官方旗舰店,15198.0,2499.0,77.0
魅族+note9,魅族官方旗舰店,14718.0,1049.0,78.0
荣耀+10,荣耀官方旗舰店,14505.0,899.0,79.0
oppo+r17,oppo官方旗舰店,14385.0,2999.0,80.0
vivo+iqoo,苏宁易购官方旗舰店,14322.0,2098.0,81.0
小米+小米9,heatlinda,14278.0,2088.0,82.0
vivo+x27,能良数码官方旗舰店,14193.0,1298.0,83.0
vivo+iqoo,vivo官方旗舰店,14132.0,2098.0,84.0
真我+x,realme官方旗舰店,13839.0,948.0,85.0
努比亚+红魔3,heatlinda,13766.0,1399.0,86.0
小米+cc9,小米官方旗舰店,13565.0,1099.0,87.0
荣耀+10,苏宁易购官方旗舰店,13532.0,1099.0,88.0
华为+nova5pro,深港通信专卖,13225.0,1475.04,89.0
真我+x,realme官方旗舰店,13086.0,1299.0,90.0
华为+p30,深港通信专卖,12697.0,2668.0,91.0
纽曼+,一号线数码专营店,12443.0,136.0,92.0
华为+p30,苏宁易购官方旗舰店,12366.0,3388.0,93.0
荣耀+10,荣耀官方旗舰店,12296.0,1799.0,94.0
vivo+iqoo,三际数码官方旗舰店,12196.0,1298.0,95.0
魅族+16,魅族官方旗舰店,11772.0,2399.0,96.0
红米+note8,品牌机批发店,11591.0,925.0,97.0
红米+k20pro,小米官方旗舰店,11455.0,2799.0,98.0
荣耀+20i,苏宁易购官方旗舰店,11086.0,799.0,99.0
荣耀+v20,荣耀官方旗舰店,11033.0,1699.0,100.0
红米+k20pro,品牌机批发店,10846.0,1287.99,101.0
红米+7,苏宁易购官方旗舰店,10813.0,699.0,102.0
apple+iphonexr,小唐1688,10439.0,3150.0,103.0
荣耀+8x,三际数码官方旗舰店,10417.0,858.0,104.0
荣耀+10,荣耀官方旗舰店,10403.0,1799.0,105.0
红米+k20,品牌机批发店,10312.0,799.0,106.0
三星+galaxys10+,三星官方旗舰店,10026.0,5599.0,107.0
华为+p30,苏宁易购官方旗舰店,9964.0,4488.0,108.0
华为+nova5pro,品牌机批发店,9840.0,1448.0,109.0
三星+galaxys10,三星官方旗舰店,9809.0,4999.0,110.0
vivo+z5x,首佳誉数码专营店,9579.0,1148.0,111.0
荣耀+20pro,龙通店,9511.0,857.99,112.0
vivo+iqoo,能良数码官方旗舰店,9484.0,3098.0,113.0
华为+nova5pro,白开水的点燃方式,9469.0,1488.0,114.0
华为+mate20,蓝港数码专营店,9278.0,1099.0,115.0
apple+iphone7plus,喜洋洋工作屋,9252.0,2160.0,116.0
荣耀+20,苏宁易购官方旗舰店,9210.0,2099.0,117.0
红米+7a,苏宁易购官方旗舰店,9208.0,479.0,118.0
红米+k20,小米官方旗舰店,9104.0,1699.0,119.0
oppo+a5,苏宁易购官方旗舰店,8972.0,699.0,121.0
荣耀+10,广东电信亿品汇专卖店,8972.0,1099.0,120.0
vivo+x27pro,能良数码官方旗舰店,8901.0,2498.0,122.0
飞利浦+e106,苏宁易购官方旗舰店,8858.0,79.0,123.0
华为+mate20,蓝港数码专营店,8801.0,779.0,124.0
华为+畅享9plus,苏宁易购官方旗舰店,8693.0,1199.0,125.0
华为+mate20,三际数码官方旗舰店,8642.0,828.0,126.0
红米+note8,龙通店,8517.0,925.0,127.0
vivo+s1,vivo官方旗舰店,8482.0,1598.0,128.0
apple+iphone11promax,佳欣共创科技,8465.0,4699.0,129.0
尼凯恩+en3,尼凯恩旗舰店,8425.0,98.0,130.0
vivo+z5x,vivo欧曙专卖店,8314.0,1298.0,131.0
小米+小米9,龙通店,8231.0,2088.0,132.0
apple+iphone8plus,苏宁易购官方旗舰店,8167.0,4449.0,133.5
红米+k20pro,三际数码官方旗舰店,8128.0,1039.0,135.0
红米+note7pro,龙通店,8009.0,799.0,136.0
红米+note7pro,苏宁易购官方旗舰店,7870.0,1199.0,137.0
华为+nova4,能良数码官方旗舰店,7854.0,899.0,138.0
华为+p30,京合旗舰店,7837.0,2499.0,139.0
apple+iphonexr,子轩_果果,7795.0,3580.0,140.0
小米+小米9,heatlinda,7696.0,2297.99,141.0
荣耀+8x,蓝港数码专营店,7629.0,878.0,142.0
一加+7pro,品牌机批发店,7597.0,2149.0,143.0
荣耀+8x,能良数码官方旗舰店,7575.0,1049.0,144.0
vivo+iqoo,苏宁易购官方旗舰店,7445.0,749.0,145.0
纽曼+,创于佳讯数码专营店,7292.0,168.0,146.0
华为+p30,蓝港数码专营店,7234.0,1599.0,147.0
vivo+iqoo,vivo官方旗舰店,7210.0,2898.0,148.0
华为+p30,赛西湖,7172.0,2677.73,149.0
纽曼+,好易用数码专营店,7155.0,63.0,150.0
纽曼+l8s,慕尚年华数码专营店,7152.0,119.0,151.0
荣耀+8x,苏宁易购官方旗舰店,7131.0,599.0,152.0
红米+note8,三际数码官方旗舰店,7101.0,969.0,153.0
华为+麦芒8,华为官方旗舰店,7039.0,1599.0,154.0
华为+nova5,华为官方旗舰店,6941.0,2599.0,155.0
华为+p30,同步飞扬数码专营店,6926.0,3388.0,156.0
vivo+x27,茂鹏数码专营店,6919.0,1298.0,157.0
小米+cc9,heatlinda,6861.0,918.0,158.0
红米+7,苏宁易购官方旗舰店,6777.0,1199.0,159.0
apple+iphone7plus,晨曦爱森林浴,6597.0,1650.0,160.0
荣耀+20i,苏宁易购官方旗舰店,6595.0,999.0,161.0
红米+k20,能良数码官方旗舰店,6573.0,2899.0,162.0
oppo+r17,oppo官方旗舰店,6549.0,2999.0,163.0
荣耀+v30,荣耀官方旗舰店,6517.0,2099.0,164.0
华为+mate30pro,国货平价网,6453.0,3284.71,165.0
纽曼+l8s,纽曼深圳专卖店,6441.0,119.0,166.0
荣耀+9x,龙通店,6424.0,498.0,167.0
华为+畅享10plus,国货平价网,6420.0,947.05,168.0
天语+r7,天语强宇专卖店,6402.0,98.0,169.0
apple+iphone11promax,周宏亮,6373.0,3787.0,170.0
oppo+r17,oppo官方旗舰店,6368.0,2199.0,171.0
魅族+16xs,魅族官方旗舰店,6361.0,1499.0,172.0
魅族+16,魅族官方旗舰店,6313.0,2689.0,173.0
荣耀+9x,白开水的点燃方式,6295.0,957.99,174.0
小米+cc9,小米官方旗舰店,6283.0,2599.0,175.0
华为+p30,同步飞扬数码专营店,6216.0,2499.0,176.0
荣耀+v20,三际数码官方旗舰店,6175.0,1099.0,177.0
荣耀+20pro,荣耀官方旗舰店,6152.0,2699.0,178.0
华为+p30,同步飞扬数码专营店,6124.0,3388.0,179.0
一加+7pro,一加创华威专卖店,6095.0,3499.0,180.0
华为+nova5pro,苏宁易购官方旗舰店,6083.0,2499.0,181.0
荣耀+20,荣耀官方旗舰店,5969.0,1099.0,182.0
