,title,store,sells,price
0,"""小辣椒 G108正品4G全网通老人机军工三防老年手机超长待机电信版大屏大字大声定位学生机直板备用按键电话""",佳宁数码专营店,63486.0,79.0
1,"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",深圳易乐购数码专营店,61674.0,58.0
2,"""新Nokia/诺基亚105 手机官方正品移动直板按键学生老人备用机 老人手机 诺基亚105 老年机 老人机官方旗舰""",苏宁易购官方旗舰店,59315.0,129.0
3,"""Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机""",伟业恒通数码专营店,54912.0,258.0
4,"""正品Nokia/诺基亚 105新老人机超长待机直板按键大字大声经典老年机学生儿童备用迷你怀旧小手机官方旗舰店""",天讯蓝图数码专营店,53064.0,139.0
5,"""Changhong/长虹 L9老人机超长待机移动老年手机学生女超薄直板老年机小手机大屏大字大声音诺基亚电信版手机""",慕尚年华数码专营店,51479.0,99.0
6,"""4G全网通BIRD/波导 A520老人机超长待机直板电信版大屏老年手机正品大字大声功能男女款按键诺基亚联通移动""",爱要美数码专营店,38397.0,158.0
7,"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",齐胜通讯,33242.0,358.0
8,"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",皓轩手机旗舰店,32477.0,39.0
9,"""BIRD/波导 A520老人机超长待机移动老人手机大字大声电信版大屏正品4g全网通大按键直板女老年手机双卡学生""",波导七星级专卖店,32409.0,158.0
10,"""【全网通4G网络】天语 T2S移动电信版按键直板正品老年手机大屏大字大声超长待机老人机诺基亚小学生备用功能""",利欧数码专营店,28080.0,99.0
11,"""【4G全网通】YEPEN/誉品 Y550正品老年手机老人机超长待机大字大声大屏移动联通电信男女按键小学生功能手机""",誉品旗舰店,23704.0,49.0
12,"""创星 ( 手机 ) v3卡片儿童手机小学生非智能超薄迷你卡通可爱网红袖珍电信备用戒网小手机女学生只可以打电话""",徐州联强数码专营店,22317.0,63.0
13,"""优思us9翻盖手机老人机超长待机移动电信版老年机大字大屏大声音男女款学生备用正品天翼双屏4G老人手机功能""",万诚春数码专营店,19714.0,99.0
14,"""ZTE/中兴 L660老人翻盖手机大屏大字大声男女移动联通军工老年手机超长待机正品学生备用功能机按键老手机""",天中和数码专营店,19519.0,199.0
15,"""K-Touch/天语 T2老人机超长待机直板大屏大字大声老年手机学生功能移动按键手机 官方正品""",苏宁易购官方旗舰店,18961.0,74.0
16,"""4G全网通老人机超长待机军工三防微信联通电信版大字大声老年手机""",紫向日葵,17624.0,145.0
17,"""【4G全网通】YEPEN/誉品 Y580 移动联通电信超长待机大屏老年机正品军工三防按键学生备用男女新功能老人手机""",誉品旗舰店,16834.0,59.0
18,"""UniscopE/优思 US1军工三防老人手机移动联通直板老年机超长待机按键大屏大字大声全语音王 来电报名字读短信""",优佳讯数码专营店,16813.0,93.0
19,"""UniscopE/优思 US1军工三防老人手机移动联通直板老年机超长待机按键大屏大字大声全语音王 来电报名字读短信""",优佳讯数码专营店,16813.0,93.0
20,"""【6期免息】vivo NEX 旗舰版全面屏8G运存屏幕指纹全网通官方旗舰店全新智能正品手机vivonex""",vivo官方旗舰店,16666.0,2698.0
21,"""Philips/飞利浦 E258S 直板老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚""",蒙帝鸿运数码专营店,15418.0,169.0
22,"""UniscopE/优思 US7军工三防老人手机移动电信版直板老年机超长待机按键大屏大字大声全语音王 支持来电报名字""",华宇广诚数码专营店,14174.0,88.0
23,"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",关爱心旗舰店,14171.0,58.0
24,"""索品 S2 老年手机超长待机按键直板老人手机大屏大字大声移动电信版正品非智能功能机女款学生天翼备用小手机""",索品数码专营店,13932.0,45.0
25,"""【4G全网通】中兴守护宝L105老人机超长待机直板女款大屏大字大声音移动电信版中老年手机正品学生按键小手机""",嘉宇金成数码专营店,11474.0,69.0
26,"""优思翻盖老年手机老人机女款男移动电信4G版大屏大字大声超长待机智能军工正品可爱按键学生备用功能机翻盖式""",优机汇数码专营店,11471.0,118.0
27,"""【填登录手机】24.8/月百度网盘超级会员SVIP年卡12个月自动充值""",百度网盘旗舰店,11282.0,298.0
28,"""[送座充] 纽曼 M6老年手机超长待机正品老人手机大屏大字大声音按键直板老人机移动电信版诺基亚功能女老年机""",纽曼深圳专卖店,11109.0,148.0
29,"""索爱 SA-T3老人机超长待机大字大声大屏三防老人手机移动版男 女款全语音王盲人功能备用机直板电信老年手机""",索爱数码旗舰店,10848.0,139.0
30,"""索爱Z6老人机翻盖全网通4G老人手机大字大声大屏移动联通4G版老年机超长待机双卡双待男女款按键电信老年手机""",索爱数码旗舰店,10340.0,219.0
31,"""创星 R9超薄超小迷你卡片手机移动电信版男女高中初中小学生儿童戒网备用非智能学生只可以打电话网红小手机""",阿兰贝尔数码专营店,10113.0,128.0
32,"""【热销爆款】上海中兴守护宝L550老人机超长待机直板老人手机大屏大字大声移动联通电信版老年手机正品学生机""",苏宁易购官方旗舰店,10036.0,86.0
33,"""【正品5年换新】 Nokia/诺基亚105直板老人机迷你小学生备用手机官方旗舰店超长待机老年非智能110儿童经典款""",京联通达数码旗舰店,9746.0,139.0
34,"""Nokia/诺基亚 新130老年机超长待机大字大声直板按键学生儿童备用老人机官方旗舰店正品经典怀旧迷你小孩手机""",天讯蓝图数码专营店,9578.0,158.0
35,"""守护宝 上海中兴 L630 官方正品 老年手机 直板老人机 移动2G 老人手机 备用机 学生 守护宝l630""",苏宁易购官方旗舰店,9225.0,129.0
36,"""【填登录手机号】10元/月百度网盘普通会员1个月卡百度云自动充值""",百度网盘旗舰店,8686.0,10.0
37,"""纽曼 M560C老人机超长待机移动老年手机正品女按键直板老年机小手机大屏大字大声音诺基亚功能机电信老人手机""",创于佳讯数码专营店,8588.0,79.0
38,"""军工三防老人机超长待机全网通电信联通4G老年手机新路虎时代k968""",紫向日葵,8406.0,68.0
39,"""【填登录手机号】百度网盘超级会员1个月SVIP自动充值""",百度网盘旗舰店,8236.0,30.0
40,"""Samsung/三星B309电信4g版老人机直板按键老年款小手机学生备用机""",玛丽m1989,7695.0,49.0
41,"""Philips/飞利浦 E163K 移动联通2G老人机超长待机直板按键大屏大字大声老年手机军工女款小学生迷你备用机""",飞利浦官方旗舰店,7556.0,119.0
42,"""Samsung/三星 GALAXY S9+ 三星S9 s9+ plus港版美版手机note10+s8""",小萝卜通讯,7321.0,1838.0
43,"""Philips/飞利浦 E183A老人机大屏大字大声4G全网通老年机超长待机直板老年手机双卡双待按键老人学生备用手机""",伟业恒通数码专营店,7277.0,149.0
44,"""红鸟H2 儿童手机小学生移动电信版非智能电话女生卡通可爱迷你学生价小卡片手机直板老人老年手机备用款正品""",红鸟手机旗舰店,7254.0,79.9
45,"""索爱 sa-z8移动电信翻盖老人机大字大声大屏男女款老年手机超长待机双屏正品盲人天翼三防按键备用功能手机""",宇索数码专营店,7222.0,279.0
46,"""创星（手机） Z9翻盖手机老人机超长待机电信版老年手机大字大声音正品女非智能诺基亚学生手机只可以打电话""",慕尚年华数码专营店,7180.0,139.0
47,"""百合BIHEE I100G 移动电信版翻盖老年手机大字大声老人机超长待机""",时创达通讯,7028.0,143.0
48,"""SAILF R20全新正品全面水滴屏8核6+128G全网通4G学生价游戏超薄安卓指纹一体拍照老人年大字超长待机智能手机""",硕王捷信时代专卖店,6996.0,388.0
49,"""vjvj X21S正品学生价水滴全面屏安卓指纹游戏电信全网通智能手机""",华信通商城,6902.0,368.0
50,"""YEPEN/誉品N2卡片直板手机超薄非智能戒网迷你超小袖珍学生男女备用儿童初中只能接打电话电信联通4G抖音同款""",誉品广联专卖店,6873.0,118.0
