,title,price,store,commentcount,location
2,"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.0,尼凯恩旗舰店,437710.0,广东 深圳
0,"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.0,创于佳讯数码专营店,413460.0,广东 深圳
44,"""【低至999元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春""",999.0,荣耀官方旗舰店,251777.0,广东 深圳
394,"""【下单立减189元】Apple/苹果 iPhone 8 Plus 64G 全网通4G手机 官方正品苹果iPhone8plus 苹果8p""",4388.0,苏宁易购官方旗舰店,234144.0,江苏 南京
48,"""【下单最高减230元】Apple/苹果 iPhone XR全网通4G手机双卡双待手机苏宁易购官方旗舰店 苹果iPhoneXR苹果xr""",4588.0,苏宁易购官方旗舰店,234032.0,江苏 南京
219,"""【下单立减189元】Apple/苹果 iPhone 8 64G 移动联通电信全网通4G手机 官方正品苹果iPhone8 苹果8""",3488.0,苏宁易购官方旗舰店,166090.0,江苏 南京
1,"""【限时低至1099】华为旗限时低至1099元下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店全新正品""",1099.0,荣耀官方旗舰店,150328.0,广东 深圳
426,"""【年货节 最高直降200】Huawei/华为 畅享9 Plus 全面屏超清大屏四摄学生智能手机畅享9p""",1299.0,华为官方旗舰店,142201.0,广东 深圳
24,"""【4G全网通】纽曼 l6+老人机超长待机大屏大字大声音按键直板移动电信版中老年手机学生女正品联通儿童小手机""",59.0,纽曼深圳专卖店,134918.0,广东 深圳
105,"""【4G全网通】尼凯恩EN8老人机超长待机直板女款大屏大字大声音移动电信版老年手机正品联通学生功能按键手机""",59.0,淘杰翔数码专营店,128633.0,广东 深圳
21,"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",68.9,天语强宇专卖店,124929.0,广西 桂林
40,"""【4G全网通】创星S1老人机超长待机正品直板军工三防诺基亚学生女款按键移动电信版大屏大字大声音老年手机""",58.0,炜广天成数码专营店,116419.0,广东 深圳
6,"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1198.0,vivo官方旗舰店,109432.0,广东 东莞
54,"""纽曼 F9老年机翻盖手机大屏大字大声音联通4G全网通女老人手机超长待机正品男女款电信版移动戒网学生老人机""",168.0,慕尚年华数码专营店,96256.0,广东 深圳
26,"""【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30""",2099.0,荣耀官方旗舰店,92563.0,广东 深圳
66,"""【年货节 直降300】Huawei/华为 畅享 8e 青春版 4G高清全面屏正品智能学生老人游戏手机""",499.0,华为官方旗舰店,91292.0,广东 深圳
20,"""【8GB限时低至2399元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30""",2399.0,荣耀官方旗舰店,90166.0,广东 深圳
47,"""【年货节 200优惠券】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦双景录像智能手机p30pro华为官方旗舰店""",4488.0,华为官方旗舰店,84275.0,广东 深圳
4015,"""OPPO K1屏幕指纹全面屏拍照学生游戏4G智能手机正品官方旗舰店oppok1""",1299.0,oppo官方旗舰店,81695.0,广东 东莞
213,"""【3期免息 至高省600】vivo iQOO高通骁龙855处理器游戏全面屏手机vivoiqoo vivo新iqoo 新iqoo iqoo限量版""",2098.0,vivo官方旗舰店,78310.0,广东 东莞
18,"""【年货节 100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店""",3388.0,华为官方旗舰店,77153.0,广东 深圳
15,"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2499.0,华为官方旗舰店,71967.0,广东 深圳
386,"""【年货节 优惠800】Huawei/华为 Mate 20 Pro 曲面屏后置徕卡三摄980芯片智能手机mate20pro华为官方旗舰店""",4599.0,华为官方旗舰店,66105.0,广东 深圳
50,"""【优惠高达600元】华为旗下HONOR/荣耀20i 3200万AI自拍渐变色官方旗舰店珍珠全面屏正品学生手机""",999.0,荣耀官方旗舰店,65831.0,广东 深圳
1111,"""小辣椒 G108正品4G全网通老人机军工三防老年手机超长待机电信版大屏大字大声定位学生机直板备用按键电话""",79.0,佳宁数码专营店,63486.0,广东 深圳
38,"""[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版学生女按键直板诺基亚手机""",58.0,深圳易乐购数码专营店,61674.0,广东 深圳
95,"""纽曼 L660老年手机翻盖手机联通4G移动电信版手机大字大声正品超长待机按键老年机大屏男女语音王军工老人机""",109.0,青柠时代数码专营店,59668.0,江苏 南京
