,title,store,type,sells,price,skuid
94,['Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],128GB,1584457,5521.18,100002040813.45
93,['Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,1472768,4715.0,33338873010.67
5938,['荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+64GB 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,1359822,1299.0,80002372475.6
90,['Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,1197378,3645.0,33338588033.78
5797,['荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,981481,1099.0,100001867595.0
108,['Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,750247,7491.0,100002365641.58
5820,['荣耀20 李现同款 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻夜黑 全面屏'],['荣耀京东自营旗舰店'],官方标配,708130,2449.0,100004791034.0
61,['Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],128GB,642353,6427.76,100007803361.71
3869,['【超级爆款】华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB天空之境全网通版双4G'],['华为京东自营官方旗舰店'],标准版,546936,5517.41,100004544567.47
5940,['荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+64GB 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,542163,999.0,100000546344.5
5851,['荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,441136,999.0,100003652369.33
5965,['荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,420160,1549.0,100005499045.5
96,['Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,419455,5084.14,100001801796.57
4161,['华为 HUAWEI 畅享9 Plus 4GB+64GB 宝石蓝 全网通 四摄超清全面屏大电池 移动联通电信4G'],['华为京东自营官方旗舰店'],4GB+64GB,417135,1299.0,100000766443.0
3872,['【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版'],['华为京东自营官方旗舰店'],8GB+128GB,397054,3988.0,100003752051.6
4158,['华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G'],['华为京东自营官方旗舰店'],标准版,355023,699.0,7564188.0
110,['Apple iPhone XS Max (A2104) 256GB 金色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,350367,6581.18,100002055712.45
4110,['华为 HUAWEI Mate 20 Pro 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB馥蕾红全网通版双4G'],['华为京东自营官方旗舰店'],标准版,348455,5265.67,100001234598.4
6186,['飞利浦（PHILIPS） E106 石墨黑 环保材质 防尘 直板按键 移动联通 双卡双待 老人'],['飞利浦手机京东自营旗舰店'],【简约畅销款】,330681,99.0,4425287.5
538,['OPPO K1 光感屏幕指纹 水滴屏拍照'],['OPPO京东自营官方旗舰店'],6GB+64GB,307948,1305.94,100003599568.0
5963,['荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,299329,1349.0,100007725869.38
4112,['华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G'],['华为京东自营官方旗舰店'],6GB+128GB,278891,3559.0,100000920831.6
3866,['【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏'],['一加手机京东自营官方旗舰店'],8GB 256GB,274353,4048.43,100004945415.83
92,['Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,254406,6081.67,33338630403.33
4136,['华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G'],['华为京东自营官方旗舰店'],8GB+128GB,253147,2999.0,100003903196.0
3875,['【超级爆款】华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏6GB+128GB幻夜黑全网通版双4G'],['华为京东自营官方旗舰店'],标准版,245240,1879.0,100003614731.4
5332,['小米9 骁龙855 索尼4800万超广角微距三摄 支持20W无线闪充 8GB+256GB 全息幻彩蓝 智能拍照游戏'],['小米京东自营旗舰店'],8GB+128GB,236244,2499.0,100003059145.67
107,['Apple iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,235009,5791.0,100002647593.92
659,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],8GB+256GB,223586,2349.0,75006075195.0
770,['vivo Z5x 6GB+128GB 极光色 极点屏'],['vivo京东自营官方旗舰店'],6GB+128GB,213771,1398.0,100004743767.0
642,['Redmi 7 4000mAh超长续航 骁龙632 1200万AI双摄 18个月超长质保 AI人脸解锁 4GB+64GB 亮黑色 游戏智能'],['小米京东自营旗舰店'],3GB+32GB,206991,699.0,50005165043.0
3631,['【新品抢购】Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 皓月白 游戏智能'],['小米京东自营旗舰店'],4GB+64GB,200716,999.0,75006357069.75
4116,['华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB亮黑色5G全网通游戏'],['华为京东自营官方旗舰店'],5G SA/NSA 双模,200444,7065.67,100008755507.11
5833,['荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,198686,1799.0,100007204163.0
3630,['【新品抢购】Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人'],['小米京东自营旗舰店'],4GB+64GB,196493,749.0,100007767689.67
3863,['【超级爆品】一加 OnePlus 7  骁龙855旗舰性能 4800万超清双摄 8GB+256GB 曜岩灰 全面屏拍照智能游戏'],['一加手机京东自营官方旗舰店'],8GB 256GB,188660,3073.5,100004646133.0
5849,['荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,188290,1299.0,100005765570.67
5799,['荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,185920,1074.0,100002018732.25
5417,['小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+64GB,185806,1032.33,66672635376.33
63,['Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,183051,6009.44,100006639479.39
5935,['荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,163579,1265.67,100000727728.0
6022,['荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],6GB 64GB,163461,1599.0,8285654.5
5933,['荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,156978,1349.0,100000065806.5
658,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],8GB+128GB,153664,2499.0,100004859791.0
4113,['华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G'],['华为京东自营官方旗舰店'],6GB+64GB,152725,3299.0,100000986057.5
701,['realme 真我X 4800万双摄 升降摄像头 高通骁龙710 屏下指纹 全网通8GB+128GB 朋克蓝 游戏智能'],['realme真我京东自营旗舰店'],8GB+128GB,152562,1549.0,100004077629.75
5939,['荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+64GB 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,152326,1619.0,100000701961.6
105,['Apple iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,151085,6816.0,100002731700.17
771,['vivo Z5x 6GB+128GB 极光色 极点屏'],['vivo京东自营官方旗舰店'],6GB+64GB,149882,1298.0,100005162695.0
4114,['华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通游戏'],['华为京东自营官方旗舰店'],5G SA/NSA 双模,147487,5249.0,100007514155.25
5428,['小米MIX2S 骁龙845 AI感光双摄    四曲面陶瓷全面屏 白色 多功能 NFC 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,147035,1799.0,6842633.5
656,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],6GB+128GB,138668,2199.0,100004859679.0
4135,['华为 HUAWEI nova 3i 全面屏高清四摄游戏'],['华为京东自营官方旗舰店'],6GB+128GB,135399,1699.0,100000322918.0
4156,['华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB天空之境全网通双4G'],['华为京东自营官方旗舰店'],标准版,135232,1771.73,100007348436.45
643,['Redmi 7 4000mAh超长续航 骁龙632 1200万AI双摄 18个月超长质保 AI人脸解锁 4GB+64GB 亮黑色 游戏智能'],['小米京东自营旗舰店'],4GB+64GB,134727,799.0,100003672460.33
539,['OPPO K3 高通骁龙710 升降摄像头 VOOC闪充 6GB+64GB 星云紫 全网通4G 全面屏拍照游戏智能'],['OPPO京东自营官方旗舰店'],6GB+64GB,131067,1623.22,100006038894.09
6018,['荣耀Magic2魔法'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,127241,1765.67,100001364190.67
4160,['华为 HUAWEI 畅享9 Plus 4GB+64GB 宝石蓝 全网通 四摄超清全面屏大电池 移动联通电信4G'],['华为京东自营官方旗舰店'],4GB+128GB,125787,1499.0,100000833614.5
5431,['小米Max3 5500mAh充电宝级电量 AI双摄 全金属机身 骁龙八核处理器 黑色 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,124770,1299.0,8635791.67
89,['Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,122765,5145.0,33339242101.33
6043,['荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通4GB+64GB 极光蓝'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,121936,899.0,100007604958.25
3514,['【千玺代言】华为新品 HUAWEI nova 4 极点全面屏'],['华为京东自营官方旗舰店'],8GB+128GB 4800万,115953,2799.0,100002004930.0
