title,type,Unnamed: 0,sells,price
apple+iphonexr,128GB,1421.0,1586473,5250.0
荣耀+8x,全网通（4GB 64GB）,22.0,1516800,1324.0
apple+iphone8plus,64GB,1962.0,1472771,4557.0
荣耀+10,全网通（4GB 64GB）,28.0,1402746,1115.67
apple+iphone8,64GB,3.0,1197378,3645.0
apple+iphonexsmax,256GB,937.0,750407,7267.84
荣耀+20,官方标配,6.0,708130,2449.0
荣耀+8x,全网通（6GB 64GB）,24.5,705742,1132.34
apple+iphone11,128GB,1614.31,661216,5902.15
荣耀+10,全网通（6GB 64GB）,81.67,622919,1307.33
华为+p30,标准版,8.0,546936,5517.41
荣耀+20i,全网通（6GB 64GB）,10.0,441136,999.0
apple+iphonexr,64GB,1533.33,423226,4750.72
华为+畅享9plus,4GB+64GB,1792.0,417261,1008.5
华为+p30,8GB+128GB,1621.42,400658,3758.6
荣耀+10,全网通（6GB 128GB）,62.67,366982,1837.89
华为+畅享8,标准版,15.0,355023,699.0
apple+iphonexsmax,64GB,201.5,354034,6256.26
华为+mate20pro,标准版,17.0,348455,5265.67
飞利浦+e106,【简约畅销款】,18.0,330681,99.0
oppo+k1,6GB+64GB,19.0,307948,1305.94
华为+mate20,6GB+128GB,1498.0,280220,2478.92
一加+7pro,8GB 256GB,22.0,274353,4048.43
apple+iphone11,64GB,1804.95,266925,6666.27
apple+iphone8plus,256GB,23.0,254406,6081.67
华为+nova5pro,8GB+128GB,1647.25,253853,2327.6
华为+nova4,标准版,25.0,245240,1879.0
一加+7,8GB 256GB,70.0,243449,3226.25
小米+小米9,8GB+128GB,2102.33,238886,2947.33
apple+iphonexs,64GB,1445.5,235048,5574.5
红米+k20pro,8GB+256GB,28.0,223586,2349.0
小米+cc9,6GB+64GB,1765.0,221392,1330.42
vivo+z5x,6GB+128GB,29.0,213771,1398.0
红米+7,3GB+32GB,1518.5,207413,729.0
红米+note8,4GB+64GB,324.5,202255,968.62
华为+mate30pro,5G SA/NSA 双模,32.0,200444,7065.67
红米+8a,4GB+64GB,1198.86,200359,706.24
荣耀+20i,全网通（6GB 128GB）,36.0,188290,1299.0
荣耀+8x,全网通（6GB 128GB）,106.5,176325,1409.0
红米+k20pro,8GB+128GB,1455.33,167588,2665.67
真我+x,8GB+128GB,248.67,167356,2115.67
vivo+iqoo,8GB+128GB,1931.0,167184,2471.76
荣耀+10,6GB 64GB,41.0,163461,1599.0
apple+iphone11,256GB,2335.82,156882,8019.94
华为+mate20,6GB+64GB,1398.8,154019,2172.92
apple+iphonexs,256GB,489.5,151809,6602.0
vivo+z5x,6GB+64GB,48.0,149882,1298.0
小米+mix2s,6GB+128GB,410.0,148068,1554.0
