,title,store,type,sells,price
0,['天语（K-TOUCH） Q31 三防老人'],['天语手机京东自营官方旗舰店'],移动联通版,104357,128.0
1,['华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人老年'],['众盛手机专营店'],全网通(2G RAM+16G ROM),52908,452.33
2,['天语（K-TOUCH） Q31 三防老人'],['天语手机京东自营官方旗舰店'],电信版,50578,158.0
3,['ROG游戏'],['ROG京东自营官方旗舰店'],8GB+128GB,44140,3754.6
4,['三星 Galaxy A8s 全面屏'],['三星手机京东自营官方旗舰店'],6GB+128GB,43015,2399.0
5,['纽曼（Newman）R15 星空黑 学生'],['纽曼京东自营官方旗舰店'],移动联通版,35258,198.0
6,['荣耀Play'],['疆界互联旗舰店'],全网通6G+128G尊享版,26558,1705.67
7,['【二手9成新】苹果7Plus'],['好机汇二手商品专营店'],128G 全网通,22747,1830.83
8,['酷派 cool 9 珍珠全面屏 4GB+64GB 人脸指纹双识别 私密双系统 8层镀陶 极光色 移动联通电信4G'],['酷派京东自营旗舰店'],酷派cool 9,22566,599.0
9,['vivo U3 6GB+64GB 晶石蓝 5000mAh大电池 18W双引擎闪充 骁龙675处理器 全网通4G'],['vivo京东自营官方旗舰店'],官方标配,22037,1049.0
10,['诺基亚 NOKIA 110 黑色 直板按键 移动联通2G'],['诺基亚手机京东自营旗舰店'],106,20047,179.0
11,['纽曼（Newman） L99S老年'],['纽曼手机旗舰店'],电信版,16830,105.67
12,['【新品抢购】Redmi 8 5000mAh大电量 大字体大音量大内存 3D四曲面机身 AI双摄 骁龙八核处理器 AI人脸解锁 4GB+64GB 碳岩灰 游戏智能'],['小米京东自营旗舰店'],4GB+64GB,14882,799.0
13,['【二手9成新】苹果8'],['翱行二手商品专营店'],64G 全网通,14821,1896.88
14,['海信(Hisense)  阅读'],['海信手机京东自营旗舰店'],4GB+32GB,14074,1199.0
15,['酷派（Coolpad）S688 黑色 移动联通2G 老人'],['酷派（Coolpad）京东自营专卖店'],S688,13936,69.0
16,['【二手9成新】苹果X'],['翱行二手商品专营店'],64G 全网通,13582,3126.33
17,['【二手9成新】苹果5s'],['闪搜二手手机专营店'],移动联通双4G(16G),13372,557.67
18,['vivo\xa0NEX 3\xa05G 深空流光 8GB+256GB\xa0无界瀑布屏\xa0高通骁龙855Plus\xa06400万三摄 5G智慧旗舰新品'],['vivo京东自营官方旗舰店'],8GB+256GB,13367,4998.0
19,['华为（HUAWEI）荣耀畅玩8C 移动联通电信全网通4G 全面屏智能老年老人'],['众盛手机专营店'],(4G RAM+32G ROM),13349,789.6
20,['【二手95新】苹果XR'],['翱行二手商品专营店'],128G 全网通,13125,3755.67
