title,price,store,sale
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.00,"""创于佳讯数码专营店""",3.5万+人收货
"""【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店正品""",1099.00,"""荣耀官方旗舰店""",3.0万+人收货
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.00,"""尼凯恩旗舰店""",2.5万+人收货
"""【新品享6期免息】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.00,"""小米官方旗舰店""",2.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.00,"""华为官方旗舰店""",1.5万+人收货
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1298.00,"""vivo官方旗舰店""",1.5万+人收货
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",4549.00,"""洋桃旗舰店""",1.5万+人收货
"""【6+64G立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",999.00,"""小米官方旗舰店""",1.5万+人收货
"""【3+32G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.00,"""华为官方旗舰店""",1.0万+人收货
"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1399.00,"""华为官方旗舰店""",1.0万+人收货
"""【6+128GB到手价1399】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1299.00,"""小米官方旗舰店""",1.0万+人收货
"""【限时24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店""",5499.00,"""苏宁易购官方旗舰店""",1.0万+人收货
"""【12+512G低至2799】红米k20 pro尊享版骁龙855Plus大存储学生智能游戏手机30小米官方旗舰店redmi正品""",2799.00,"""小米官方旗舰店""",1.0万+人收货
"""【年货节 12期免息】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店""",2899.00,"""华为官方旗舰店""",1.0万+人收货
"""【下单立减100赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.00,"""oppo官方旗舰店""",1.0万+人收货
"""VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价""",358.00,"""齐胜通讯""",1.0万+人收货
"""vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x""",1398.00,"""vivo官方旗舰店""",9500+人收货
"""【下单至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93""",799.00,"""vivo官方旗舰店""",9500+人收货
"""全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用""",69.00,"""天语强宇专卖店""",9500+人收货
"""关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生女备用功能小手机""",58.00,"""关爱心旗舰店""",9500+人收货
