title,price,store,commentcount,location
"""【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机""",69.00,"""创于佳讯数码专营店""",413460,广东 深圳
"""【限时低至1099】华为旗限时低至1099元下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店全新正品""",1099.00,"""荣耀官方旗舰店""",150328,广东 深圳
"""【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机""",69.00,"""尼凯恩旗舰店""",437710,广东 深圳
"""【购机赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi""",1699.00,"""小米官方旗舰店""",9104,北京
"""【年货节 24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店""",6399.00,"""华为官方旗舰店""",35357,广东 深圳
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",4549.00,"""洋桃旗舰店""",4958,浙江 杭州
"""vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x""",1198.00,"""vivo官方旗舰店""",109432,广东 东莞
"""【全版本立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi""",899.00,"""小米官方旗舰店""",39465,北京
"""【全版本立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品""",599.00,"""小米官方旗舰店""",21371,北京
"""【年货节 24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店""",4999.00,"""华为官方旗舰店""",22153,广东 深圳
"""【年货节 4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus""",1299.00,"""华为官方旗舰店""",30692,广东 深圳
"""【限时24期免息】Apple/苹果 iPhone 11移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店Store苹果11""",5499.00,"""苏宁易购官方旗舰店""",23067,江苏 南京
"""【1月6日低至1199起】红米note8pro6400万4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi""",1199.00,"""小米官方旗舰店""",42738,北京
"""【下单立减200赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1""",1799.00,"""oppo官方旗舰店""",15502,广东 东莞
