title,price,store,sells,location,commentcount
"""12+512G2699元】Xiaomi/小米 Redmi K20Pro骁龙855红米K20手机官方旗舰全面屏4800万note8新5g尊享版9pro/k30""",2099.0,"""热图数码专营店""",616人收货,广东 深圳,2451.0
"""12期免息减1000元Huawei/华为 nova 5 Pro华为手机官方旗舰店正品5g全网通p20荣耀p30pro新款nova6直降mate20""",2499.0,"""三际数码官方旗舰店""",576人收货,山东 济南,3416.0
"""12期免息花呗分期付款】华为HONOR荣耀20青春版手机官方旗舰店20s正品8x直降9xpro新款9x华为荣耀20青春版""",1099.0,"""广东电信亿品汇专卖店""",621人收货,广东 深圳,546.0
"""2019新款 Nokia/诺基亚新106老人机直板按键功能机老年手机正品官方旗舰店经典怀旧学生备用儿童迷你小手机""",139.0,"""宸欣数码专营店""",1012人收货,广东 深圳,2678.0
"""2019新款 Nokia/诺基亚新106老人机直板按键功能机老年手机正品官方旗舰店经典怀旧学生备用儿童迷你小手机""",139.0,"""宸欣数码专营店""",1041人收货,广东 深圳,2669.0
"""24期分期/Huawei/华为 nova 4e 手机官方旗舰店p30官网正品nova4直降nova6 pro新品5i荣耀mate30华为128G手机""",1088.0,"""博海宇通数码专营店""",754人收货,北京,862.0
"""24期分期/Huawei/华为 nova 4e中移动手机正品官方旗舰店2 pro 4 3 3i  3e 5 4e直降 5i 5z 6 se""",1118.0,"""中国移动官方旗舰店""",651人收货,浙江 杭州,1038.0
"""24期分期/当天发【新品】Huawei/华为 华为畅享10 plus 手机官网官方旗舰店畅想10plus/Nova非5g正品手机降价""",1199.0,"""小淘器数码专营店""",746人收货,安徽 合肥,742.0
"""24期分期/送壕礼/质保3年/Huawei/华为 畅享9 PLUS中移动手机正品官方旗舰店 9S 9e  畅想MAX plus 9X 10""",868.0,"""中国移动官方旗舰店""",743人收货,浙江 杭州,2435.0
"""24期分期免息领100元券/华为HONOR 荣耀20手机官方旗舰店V20降价magic3官网正品11x青春9x直降30pro麒麟v30""",2199.0,"""三际数码官方旗舰店""",771人收货,山东 济南,3872.0
"""24期花呗免息可减430元/华为HONO 荣耀20PRO全面屏手机直降降价x9新荣耀20pro预售V20旗舰店20pro新品V30pro""",2699.0,"""三际数码官方旗舰店""",680人收货,山东 济南,2360.0
"""3期免息】Xiaomi/小米 小米CC 9E美图定制版cc9pro官方旗舰手机se""",918.0,"""龙通店""",835人收货,广东 深圳,3747.0
"""4+64G卖799元/Huawei/华为 畅享9 手机 华为官方旗舰店正品华为畅享9plus畅享10plus畅想9s荣耀老人 超长待机""",749.0,"""博海宇通数码专营店""",3028人收货,北京,3245.0
"""4G全网通尼凯恩 EN3C正品三防军工直板超长待机移动电信版老年机老人手机女款学生大屏大字大声按键备用手机""",99.0,"""尼凯恩旗舰店""",2907人收货,广东 深圳,8383.0
"""4G全网通微信触屏老人手机大字大声超长待机移动联通电信版老年机""",160.0,"""紫向日葵""",714人收货,北京,5167.0
"""4G全网通皓轩H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼小手机""",39.0,"""皓轩手机旗舰店""",6500+人收货,广东 深圳,32336.0
"""4G全网通皓轩老人机超长待机直板男女大屏大字大声移动电信版老年机联通学生按键小型迷你备用天翼非智能手机""",49.0,"""皓轩天纵汇专卖店""",585人收货,广东 深圳,1357.0
"""5年换新/Nokia/诺基亚 105新ss老人机超长待机直板按键大字大声经典备用老年机学生儿童迷你小手机官方旗舰店""",139.0,"""天讯蓝图数码专营店""",3441人收货,广东 深圳,2899.0
"""6期免息当天发货Huawei/华为Mate30 Pro 5G版手机官方旗舰店正品p30新款40全网通曲面屏【限量送无线充电器】""",6399.0,"""乐哇数码专营店""",723人收货,上海,639.0
"""8+256G版2499起+送无线充 xiaomi/小米9手机 plus官方旗舰店9Pro5G网骁龙855透明红米K20pro尊享探索九cc9pro""",2499.0,"""三际数码官方旗舰店""",611人收货,山东 济南,5325.0
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品4G""",920.0,"""金猪立业""",3173人收货,广东 深圳,744.0
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",814.0,"""丰达电子通讯城""",959人收货,广东 深圳,816.0
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",930.0,"""tb326255629""",4361人收货,广东 深圳,1417.0
"""Apple/lPhone 6splus 苹.果6sp 苹.果6s手机7代7plus全网通正品7p""",950.0,"""旅游数码欢乐坊""",5500+人收货,广东 深圳,4209.0
"""Apple/苹果 Apple iPhone 11 pro Max 移动联通电信全网通4G智能手机""",10899.0,"""洋桃旗舰店""",925人收货,浙江 杭州,401.0
"""Apple/苹果 Apple iPhone 11 移动联通电信全网通4G智能手机""",5499.0,"""洋桃旗舰店""",1.5万+人收货,浙江 杭州,4598.0
"""Apple/苹果 Apple iphone 11 pro 移动联通电信全网通4G智能手机""",9999.0,"""洋桃旗舰店""",799人收货,浙江 杭州,331.0
"""Apple/苹果 iPhone 11 Pro Max 新款iphone11 苹果11pro max手机""",3565.0,"""领域数码通讯""",796人收货,广东 深圳,1213.0
"""Apple/苹果 iPhone 11 Pro Max港版苹果11promax国行新款双卡手机""",3558.0,"""光头先僧""",663人收货,广东 深圳,1363.0
"""Apple/苹果 iPhone 11 Pro Max港韩日美版新款有锁手机双卡分期xs""",5049.0,"""zhuxiaoming1113""",579人收货,天津,1572.0
"""Apple/苹果 iPhone 11 Pro Max苹果11promax国行无锁美版三网手机""",3530.0,"""sayhay自营店""",1035人收货,上海,903.0
"""Apple/苹果 iPhone 11 Pro Max苹果11promax国行无锁美版三网手机""",3550.0,"""sayhay自营店""",1039人收货,上海,880.0
"""Apple/苹果 iPhone 7 Plus iPhone7国行三网通全新正品苹果7P手机""",2160.0,"""喜洋洋工作屋""",8500+人收货,广东 深圳,9080.0
"""Apple/苹果 iPhone 7 Plus全新7代5.5英寸全网通7P苹果8plus手机X""",1650.0,"""晨曦爱森林浴""",5500+人收货,上海,6291.0
"""Apple/苹果 iPhone 7 Plus国行美版苹果7代苹果7P5.5寸全网通手机""",1800.0,"""唯美气质淑女日韩馆""",8000+人收货,广东 深圳,17001.0
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8""",2600.0,"""喜洋洋工作屋""",6500+人收货,广东 深圳,4601.0
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8x""",1389.0,"""爱上一个少年""",1029人收货,广东 深圳,470.0
"""Apple/苹果 iPhone 8 Plus 全新正品国行美版三网通手机iPhone 8x""",1399.0,"""爱上一个少年""",1010人收货,广东 深圳,460.0
"""Apple/苹果 iPhone 8 Plus 全网通4G全新苹果8X手机128G 分期免息""",1398.0,"""zhimingyouhuo4""",3556人收货,广东 深圳,1559.0
"""Apple/苹果 iPhone 8 Plus 苹果8plus国行手机苹果8X iphone8租赁""",1389.0,"""爱上一个少年""",1151人收货,广东 深圳,783.0
"""Apple/苹果 iPhone 8 Plus苹果8P国行7代5.5英寸iPhone7苹果X手机""",1450.0,"""tb7002500_2011""",875人收货,上海,1841.0
"""Apple/苹果 iPhone X  苹果x iphonex  xs max苹果8x国行正品手机""",3600.0,"""朵儿妈的生活""",1004人收货,广东 深圳,1417.0
"""Apple/苹果 iPhone X  苹果x iphonex  xs max苹果8x国行正品手机""",3600.0,"""朵儿妈的生活""",999人收货,广东 深圳,1389.0
"""Apple/苹果 iPhone XR iphonexr 苹果XR手机 双卡双待 8x xs max""",2780.0,"""liubingtuan""",3365人收货,江苏 南京,5194.0
"""Apple/苹果 iPhone XR手机iphonexr双卡双待128g国行xs max 8x 4G""",3465.0,"""明辉手机2011""",874人收货,广东 深圳,1144.0
"""Apple/苹果 iPhone XR苹果xr国行正品双卡双待iphonexr全网通手机""",2780.0,"""cjnlmn""",904人收货,广东 深圳,392.0
"""Apple/苹果 iPhone XS Max 苹果xsmax苹果XR美版4G国行双卡手机8X""",3589.0,"""红红豆豆200988""",1052人收货,广东 深圳,2186.0
"""Apple/苹果 iPhone XS Max苹果xsmax苹果 xs xr双卡iPhonex 手机x""",3300.0,"""子轩_果果""",2896人收货,广东 深圳,2232.0
"""Apple/苹果 iPhone X苹果X手机5.8英寸国行美版iphone8plus全网通""",2170.0,"""晨曦爱森林浴""",658人收货,上海,232.0
