,title,store,type,sells,price
0,apple+iphonexr,['Apple产品京东自营旗舰店'],128GB,1584457,5521.18
1,apple+iphone8plus,['Apple产品京东自营旗舰店'],64GB,1472768,4715.0
2,荣耀+8x,['荣耀京东自营旗舰店'],全网通（4GB 64GB）,1359822,1299.0
3,apple+iphone8,['Apple产品京东自营旗舰店'],64GB,1197378,3645.0
4,荣耀+10,['荣耀京东自营旗舰店'],全网通（4GB 64GB）,981481,1099.0
5,apple+iphonexsmax,['Apple产品京东自营旗舰店'],256GB,750247,7491.0
6,荣耀+20,['荣耀京东自营旗舰店'],官方标配,708130,2449.0
7,apple+iphone11,['Apple产品京东自营旗舰店'],128GB,642353,6427.76
8,华为+p30,['华为京东自营官方旗舰店'],标准版,546936,5517.41
9,荣耀+8x,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,542163,999.0
10,荣耀+20i,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,441136,999.0
11,荣耀+10,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,420160,1549.0
12,apple+iphonexr,['Apple产品京东自营旗舰店'],64GB,419455,5084.14
13,华为+畅享9plus,['华为京东自营官方旗舰店'],4GB+64GB,417135,1299.0
14,华为+p30,['华为京东自营官方旗舰店'],8GB+128GB,397054,3988.0
15,华为+畅享8,['华为京东自营官方旗舰店'],标准版,355023,699.0
16,apple+iphonexsmax,['Apple产品京东自营旗舰店'],64GB,350367,6581.18
17,华为+mate20pro,['华为京东自营官方旗舰店'],标准版,348455,5265.67
18,飞利浦+e106,['飞利浦手机京东自营旗舰店'],【简约畅销款】,330681,99.0
19,oppo+k1,['OPPO京东自营官方旗舰店'],6GB+64GB,307948,1305.94
20,荣耀+10,['荣耀京东自营旗舰店'],全网通（4GB 64GB）,299329,1349.0
21,华为+mate20,['华为京东自营官方旗舰店'],6GB+128GB,278891,3559.0
22,一加+7pro,['一加手机京东自营官方旗舰店'],8GB 256GB,274353,4048.43
23,apple+iphone8plus,['Apple产品京东自营旗舰店'],256GB,254406,6081.67
24,华为+nova5pro,['华为京东自营官方旗舰店'],8GB+128GB,253147,2999.0
25,华为+nova4,['华为京东自营官方旗舰店'],标准版,245240,1879.0
26,小米+小米9,['小米京东自营旗舰店'],8GB+128GB,236244,2499.0
27,apple+iphonexs,['Apple产品京东自营旗舰店'],64GB,235009,5791.0
28,红米+k20pro,['小米京东自营旗舰店'],8GB+256GB,223586,2349.0
29,vivo+z5x,['vivo京东自营官方旗舰店'],6GB+128GB,213771,1398.0
30,红米+7,['小米京东自营旗舰店'],3GB+32GB,206991,699.0
31,红米+note8,['小米京东自营旗舰店'],4GB+64GB,200716,999.0
32,华为+mate30pro,['华为京东自营官方旗舰店'],5G SA/NSA 双模,200444,7065.67
33,荣耀+10,['荣耀京东自营旗舰店'],全网通（6GB 128GB）,198686,1799.0
34,红米+8a,['小米京东自营旗舰店'],4GB+64GB,196493,749.0
35,一加+7,['一加手机京东自营官方旗舰店'],8GB 256GB,188660,3073.5
36,荣耀+20i,['荣耀京东自营旗舰店'],全网通（6GB 128GB）,188290,1299.0
37,荣耀+10,['荣耀京东自营旗舰店'],全网通（6GB 64GB）,185920,1074.0
38,小米+cc9,['小米京东自营旗舰店'],6GB+64GB,185806,1032.33
