title,Unnamed: 0,sells,price
荣耀+10,1445.46,2712208,1395.15
荣耀+8x,1597.13,2509447,1159.21
apple+iphonexr,2813.29,2140674,4639.33
apple+iphone8plus,2573.4,1813427,3650.33
apple+iphone8,2447.24,1390297,2960.99
apple+iphone11,2771.69,1242403,7109.92
华为+p30,2442.24,1239008,4074.73
apple+iphonexsmax,2877.16,1166556,5702.55
荣耀+20,2155.53,778189,1839.73
荣耀+20i,1878.44,764484,1329.92
红米+k20pro,2089.42,692174,2395.88
华为+畅享9plus,1506.45,652360,1199.3
小米+小米9,2597.47,516369,3304.89
vivo+iqoo,2104.95,487227,2643.79
华为+nova4,1656.48,462893,1489.33
华为+mate20,1930.63,458120,2614.37
红米+7,1554.54,438151,932.91
vivo+z5x,827.0,430761,1409.34
apple+iphonexs,2727.54,415148,5289.88
小米+cc9,2186.33,400497,1844.91
华为+mate20pro,2617.28,386417,4030.66
华为+nova5pro,1935.64,380955,2631.15
华为+mate30pro,2794.73,375773,6808.68
红米+note8,1889.52,373922,1265.59
一加+7pro,2853.85,371369,3619.2
华为+畅享8,1794.5,356341,651.0
真我+x,396.43,348636,2283.52
飞利浦+e106,171.0,335941,99.0
华为+mate30,2753.93,316754,5163.54
华为+nova5,1996.59,309663,2012.35
oppo+k1,2092.5,307948,1236.65
oppo+k3,838.61,292946,1826.77
一加+7,2565.89,292650,3777.1
魅族+16,1527.23,258645,2448.59
vivo+z5,1205.21,244111,1706.09
红米+7a,1195.5,239721,523.11
荣耀+magic2,2051.1,229616,2223.14
oppo+a5,1444.79,224746,836.29
apple+iphone7,2151.9,219482,1894.81
红米+8a,2225.79,215420,679.0
小米+max3,1195.62,206792,1181.96
oppo+reno,2029.81,203765,3046.45
华为+畅享9,1796.79,200706,929.28
小米+mix2s,2200.0,190155,1374.19
华为+nova3i,90.0,178543,1549.0
apple+iphone11promax,2991.98,171476,10773.35
小米+小米9se,2286.04,169458,1882.42
华为+畅享10plus,1888.69,166448,1643.45
魅族+x8,949.29,128773,1059.69
黑鲨+,2266.53,120356,3312.55
红米+k20,1699.71,116019,1772.16
vivo+u3x,1037.8,115625,900.93
oppo+k5,1566.52,115392,2103.87
真我+真我q,154.67,92465,1317.36
vivo+x27,1750.75,83298,2367.45
apple+iphonex,2888.11,76423,4118.61
vivo+z3,1791.36,67881,1142.96
努比亚+红魔3,2383.77,67762,3175.86
三星+galaxya60,211.5,65488,1749.0
三星+galaxys10,3233.62,61975,4149.73
锤子+坚果r1,1750.2,61495,1761.0
荣耀+9x,1697.56,59748,1632.04
荣耀+v30,2960.73,57791,3853.31
魅族+note9,167.0,54564,1149.0
荣耀+9i,1227.75,53641,973.38
美图+t9,2762.14,51950,1104.13
三星+galaxys10+,3031.92,51462,5984.48
飞利浦+e517,179.0,50630,239.0
oppo+renoz,1667.0,44590,2135.21
小米+小米8,2075.26,42127,1448.93
vivo+u1,1791.88,41913,911.5
三星+galaxynote10,3383.77,36284,7219.77
华为+nova6,3445.6,33089,3847.99
oppo+reno10,354.0,31283,4011.5
联想+z5,1851.43,30512,957.5
天语+s8,206.0,29839,181.5
努比亚+红魔,2301.12,24555,1918.84
魅族+16xs,229.5,24281,1599.0
努比亚+x,1644.83,23347,2476.22
荣耀+v20,2110.61,20455,1965.33
锤子+坚果pro3,2369.43,19698,3066.26
联想+z5pro,2062.0,16466,1657.67
中兴+bladea7,279.0,16415,573.5
oppo+r17,1198.25,12954,1779.54
荣耀+20pro,2003.54,10967,2583.69
华为+mate20x,2543.57,8382,4391.05
中兴+bladev10,417.0,7869,879.0
中兴+axon10pro,739.67,4858,3699.0
小米+mix3,2919.44,4595,2468.65
三星+galaxya70,536.5,4440,2649.0
oppo+findx,2941.35,3846,4427.22
红米+note7pro,1140.0,3403,1057.62
魅族+16x,954.75,3395,1229.98
oppo+a9,2336.38,2035,1467.25
vivo+s1pro,1150.67,1988,1998.0
oppo+r17pro,2418.25,1782,2433.0
vivo+x27pro,2608.0,1035,2215.09
诺基亚+x7,2795.67,974,1799.0
一加+6t,2754.38,799,1978.92
锤子+坚果pro2s,2438.5,149,1082.0
