title,store,Unnamed: 0,sells,price
荣耀+10,['荣耀京东自营旗舰店'],107.93,2657891,1565.11
荣耀+8x,['荣耀京东自营旗舰店'],107.22,2441595,1397.52
apple+iphonexr,['Apple产品京东自营旗舰店'],37.33,2060950,5695.66
apple+iphone8plus,['Apple产品京东自营旗舰店'],74.0,1743670,5265.22
apple+iphone8,['Apple产品京东自营旗舰店'],87.0,1336573,4263.0
华为+p30,['华为京东自营官方旗舰店'],101.17,1135958,4562.9
apple+iphonexsmax,['Apple产品京东自营旗舰店'],57.0,1133384,7497.95
apple+iphone11,['Apple产品京东自营旗舰店'],116.33,1035771,8680.65
荣耀+20,['荣耀京东自营旗舰店'],979.75,757592,1636.5
荣耀+20i,['荣耀京东自营旗舰店'],72.0,721761,1349.0
红米+k20pro,['小米京东自营旗舰店'],95.29,683132,2506.14
华为+畅享9plus,['华为京东自营官方旗舰店'],52.67,610721,1532.33
小米+小米9,['小米京东自营旗舰店'],190.14,489986,3345.43
华为+mate20,['华为京东自营官方旗舰店'],32.5,431616,3429.0
vivo+z5x,['vivo京东自营官方旗舰店'],105.75,422038,1414.67
华为+nova4,['华为京东自营官方旗舰店'],1752.0,399690,2175.0
apple+iphonexs,['Apple产品京东自营旗舰店'],130.67,391583,6742.89
vivo+iqoo,['vivo京东自营官方旗舰店'],844.08,386173,2688.59
小米+cc9,['小米京东自营旗舰店'],195.9,381287,1822.33
红米+7,['小米京东自营旗舰店'],175.4,381248,1459.0
一加+7pro,['一加手机京东自营官方旗舰店'],86.33,370226,4231.98
华为+畅享8,['华为京东自营官方旗舰店'],2195.0,355023,624.0
华为+mate20pro,['华为京东自营官方旗舰店'],2197.5,348455,5319.84
真我+x,['realme真我京东自营旗舰店'],289.55,344787,1921.73
华为+mate30pro,['华为京东自营官方旗舰店'],1144.0,343823,6640.67
红米+note8,['小米京东自营旗舰店'],73.33,341485,1132.33
飞利浦+e106,['飞利浦手机京东自营旗舰店'],171.0,335941,99.0
华为+nova5pro,['华为京东自营官方旗舰店'],58.5,313839,3232.34
oppo+k1,['OPPO京东自营官方旗舰店'],2092.5,307948,1236.65
华为+mate30,['华为京东自营官方旗舰店'],1670.83,293728,7965.67
一加+7,['一加手机京东自营官方旗舰店'],121.5,289243,3257.5
华为+nova5,['华为京东自营官方旗舰店'],131.6,270324,2339.0
魅族+16,['魅族京东自营旗舰店'],173.56,249819,2142.44
oppo+k3,['OPPO京东自营官方旗舰店'],139.33,227902,1911.88
荣耀+magic2,['荣耀京东自营旗舰店'],375.5,225069,2465.67
vivo+z5,['vivo京东自营官方旗舰店'],270.0,220734,1685.5
小米+max3,['小米京东自营旗舰店'],68.5,204851,1149.0
红米+8a,['小米京东自营旗舰店'],173.5,202093,674.0
oppo+a5,['OPPO京东自营官方旗舰店'],104.0,192983,924.0
小米+mix2s,['小米京东自营旗舰店'],93.5,185261,1949.0
华为+nova3i,['华为京东自营官方旗舰店'],90.0,178543,1549.0
oppo+reno,['OPPO京东自营官方旗舰店'],937.2,166373,3442.42
小米+小米9se,['小米京东自营旗舰店'],108.67,162278,1599.0
红米+7a,['小米京东自营旗舰店'],93.0,155298,569.0
apple+iphone11promax,['Apple产品京东自营旗舰店'],155.0,143511,11688.34
华为+畅享10plus,['华为京东自营官方旗舰店'],1921.33,135584,1739.91
华为+畅享9,['华为京东自营官方旗舰店'],94.5,132586,1011.5
魅族+x8,['魅族京东自营旗舰店'],148.0,122245,982.0
黑鲨+,['黑鲨京东自营官方旗舰店'],184.75,114904,2756.25
红米+k20,['小米京东自营旗舰店'],125.5,110545,1749.0
真我+真我q,['realme真我京东自营旗舰店'],154.67,92465,1317.36
oppo+k5,['OPPO京东自营官方旗舰店'],219.0,89740,2193.48
vivo+u3x,['vivo京东自营官方旗舰店'],170.33,87027,872.33
vivo+iqoo,['vivo官方旗舰店'],1057.92,85936,2630.99
红米+7a,['佳沪手机旗舰店'],429.0,72272,503.0
vivo+x27,['vivo京东自营官方旗舰店'],148.0,68931,2648.0
vivo+z3,['vivo官方旗舰店'],212.0,66301,1259.11
努比亚+红魔3,['努比亚京东自营旗舰店'],318.8,65615,3056.37
三星+galaxya60,['三星手机京东自营官方旗舰店'],211.5,65488,1749.0
锤子+坚果r1,['坚果手机京东自营旗舰店'],155.5,61360,2249.0
三星+galaxys10,['三星手机京东自营官方旗舰店'],227.0,59479,6249.0
魅族+note9,['魅族京东自营旗舰店'],167.0,54564,1149.0
荣耀+9i,['疆界互联旗舰店'],252.5,53411,1124.0
荣耀+v30,['荣耀京东自营旗舰店'],2167.75,52305,3936.5
美图+t9,['美图京东自营官方旗舰店'],162.5,51916,1232.34
飞利浦+e517,['飞利浦手机京东自营旗舰店'],179.0,50630,239.0
三星+galaxys10+,['三星手机京东自营官方旗舰店'],348.0,49540,8899.0
apple+iphone7,['扬帆二手商品专营店'],1413.71,45357,1726.62
apple+iphone11,['佳沪手机旗舰店'],1225.88,43650,8473.12
apple+iphone8plus,['佳沪手机旗舰店'],485.33,42379,5252.83
vivo+u1,['vivo官方旗舰店'],270.0,40896,1032.33
apple+iphonexr,['佳沪手机旗舰店'],1441.0,39603,5212.22
三星+galaxynote10,['三星手机京东自营官方旗舰店'],3018.83,36111,7657.33
oppo+renoz,['OPPO京东自营官方旗舰店'],206.5,36091,2268.64
apple+iphone11,['中国移动手机官方旗舰店'],1456.55,35678,8043.82
apple+iphone7,['经典二手商品专营店'],2123.25,33455,1616.72
oppo+k3,['OPPO手机乐良专卖店'],1214.5,32833,1871.22
apple+iphone8,['佳沪手机旗舰店'],830.0,31417,3761.67
oppo+reno10,['OPPO京东自营官方旗舰店'],354.0,31283,4011.5
华为+p30,['福气多多手机旗舰店'],806.57,31275,4281.43
天语+s8,['天语手机京东自营官方旗舰店'],206.0,29839,181.5
联想+z5,['联想手机京东自营官方旗舰店'],233.5,29458,997.5
apple+iphone7,['马上优品二手商品旗舰店'],1246.12,28284,1778.46
华为+nova6,['华为京东自营官方旗舰店'],1241.0,27862,3675.67
华为+p30,['掌视界数码旗舰店'],1139.92,27336,4413.58
红米+7,['佳沪手机旗舰店'],1218.17,26805,858.89
魅族+16xs,['魅族京东自营旗舰店'],229.5,24281,1599.0
努比亚+x,['努比亚京东自营旗舰店'],628.0,23069,2632.33
vivo+u3x,['vivo官方旗舰店'],1313.33,22492,869.0
