,store,commentcount,location,count
0,"""创于佳讯数码专营店""",413460.0,广东 深圳,1
1,"""荣耀官方旗舰店""",150328.0,广东 深圳,1
2,"""尼凯恩旗舰店""",437710.0,广东 深圳,1
3,"""小米官方旗舰店""",9104.0,北京,1
4,"""华为官方旗舰店""",35357.0,广东 深圳,1
5,"""洋桃旗舰店""",4958.0,浙江 杭州,1
6,"""vivo官方旗舰店""",109432.0,广东 东莞,1
7,"""小米官方旗舰店""",39465.0,北京,1
8,"""小米官方旗舰店""",21371.0,北京,1
9,"""华为官方旗舰店""",22153.0,广东 深圳,1
10,"""华为官方旗舰店""",30692.0,广东 深圳,1
11,"""苏宁易购官方旗舰店""",23067.0,江苏 南京,1
12,"""小米官方旗舰店""",42738.0,北京,1
13,"""oppo官方旗舰店""",15502.0,广东 东莞,1
14,"""小米官方旗舰店""",17116.0,北京,1
15,"""华为官方旗舰店""",71967.0,广东 深圳,1
16,"""齐胜通讯""",33242.0,广东 深圳,1
17,"""荣耀官方旗舰店""",27812.0,广东 深圳,1
18,"""华为官方旗舰店""",77153.0,广东 深圳,1
19,"""关爱心旗舰店""",14171.0,广东 深圳,1
20,"""荣耀官方旗舰店""",90166.0,广东 深圳,1
21,"""天语强宇专卖店""",124929.0,广西 桂林,1
22,"""华为官方旗舰店""",39466.0,广东 深圳,1
23,"""vivo官方旗舰店""",16563.0,广东 东莞,1
24,"""纽曼深圳专卖店""",134918.0,广东 深圳,1
25,"""vivo官方旗舰店""",49183.0,广东 东莞,1
26,"""荣耀官方旗舰店""",92563.0,广东 深圳,1
27,"""华为官方旗舰店""",17224.0,广东 深圳,1
28,"""华信通商城""",6902.0,广东 深圳,1
29,"""华为官方旗舰店""",1432.0,广东 深圳,1
30,"""喜洋洋工作屋""",9252.0,广东 深圳,1
31,"""唯美气质淑女日韩馆""",17272.0,广东 深圳,1
32,"""华为官方旗舰店""",18336.0,广东 深圳,1
33,"""小米官方旗舰店""",13565.0,北京,1
34,"""皓轩手机旗舰店""",32477.0,广东 深圳,1
35,"""荣耀官方旗舰店""",4408.0,广东 深圳,1
36,"""喜洋洋工作屋""",4718.0,广东 深圳,1
37,"""誉品旗舰店""",23704.0,广东 深圳,1
38,"""深圳易乐购数码专营店""",61674.0,广东 深圳,1
39,"""晨曦爱森林浴""",6597.0,上海,1
40,"""炜广天成数码专营店""",116419.0,广东 深圳,1
41,"""vivo官方旗舰店""",14132.0,广东 东莞,1
42,"""旅游数码欢乐坊""",4287.0,广东 深圳,1
43,"""荣耀官方旗舰店""",5969.0,广东 深圳,1
44,"""荣耀官方旗舰店""",251777.0,广东 深圳,1
45,"""慕尚年华数码专营店""",51479.0,广东 深圳,1
46,"""oppo官方旗舰店""",58186.0,广东 东莞,1
47,"""华为官方旗舰店""",84275.0,广东 深圳,1
48,"""苏宁易购官方旗舰店""",234032.0,江苏 南京,1
49,"""荣耀官方旗舰店""",14505.0,广东 深圳,1
50,"""荣耀官方旗舰店""",65831.0,广东 深圳,1
51,"""vivo官方旗舰店""",15922.0,广东 东莞,1
52,"""tb955151_00""",3260.0,广东 深圳,1
53,"""荣耀官方旗舰店""",24213.0,广东 深圳,1
54,"""慕尚年华数码专营店""",96256.0,广东 深圳,1
55,"""苏宁易购官方旗舰店""",13532.0,江苏 南京,1
56,"""荣耀官方旗舰店""",3126.0,广东 深圳,1
57,"""oppo官方旗舰店""",14385.0,广东 东莞,1
58,"""tb326255629""",1530.0,广东 深圳,1
59,"""深圳易乐购数码专营店""",23215.0,广东 深圳,1
60,"""小米官方旗舰店""",3270.0,北京,1
61,"""小米官方旗舰店""",21017.0,北京,1
62,"""zhongweixin8250""",5627.0,广东 深圳,1
63,"""苏宁易购官方旗舰店""",6777.0,江苏 南京,1
64,"""苏宁易购官方旗舰店""",4249.0,江苏 南京,1
65,"""华为官方旗舰店""",21224.0,广东 深圳,1
66,"""华为官方旗舰店""",91292.0,广东 深圳,1
67,"""会耍赖的猫888""",1560.0,广东 深圳,1
68,"""zhimingyouhuo4""",1572.0,广东 深圳,1
69,"""彩虹色的蜻蜓""",4538.0,广东 深圳,1
70,"""嘉宇金成数码专营店""",11474.0,广东 深圳,1
71,"""伟业恒通数码专营店""",54912.0,广东 深圳,1
72,"""广东电信亿品汇专卖店""",8972.0,广东 深圳,1
73,"""鑫泰达电子科技""",1661.0,广东 深圳,1
74,"""纽曼深圳专卖店""",11109.0,广东 深圳,1
75,"""天讯蓝图数码专营店""",2933.0,广东 深圳,1
76,"""苏宁易购官方旗舰店""",4349.0,江苏 南京,1
77,"""福禄网游数卡专营店""",1288.0,湖北 武汉,1
78,"""苏宁易购官方旗舰店""",5730.0,江苏 南京,1
79,"""liubingtuan""",5358.0,江苏 南京,1
80,"""深圳梦幻公主服饰""",881.0,广东 深圳,1
81,"""苏宁易购官方旗舰店""",3611.0,江苏 南京,1
82,"""荣耀官方旗舰店""",41266.0,广东 深圳,1
83,"""金猪立业""",759.0,广东 深圳,1
84,"""博海宇通数码专营店""",3334.0,北京,1
85,"""苏宁易购官方旗舰店""",3025.0,江苏 南京,1
86,"""关爱心旭光明专卖店""",1665.0,广东 深圳,1
87,"""京合旗舰店""",7837.0,安徽 合肥,1
88,"""tao88108813""",2502.0,广东 深圳,1
89,"""百度网盘旗舰店""",2750.0,北京,1
90,"""美图好手机""",1779.0,广东 深圳,1
91,"""子轩_果果""",2329.0,广东 深圳,1
92,"""尼凯恩旗舰店""",8425.0,广东 深圳,1
93,"""苏宁易购官方旗舰店""",10036.0,江苏 南京,1
94,"""三际数码官方旗舰店""",6175.0,山东 济南,1
95,"""青柠时代数码专营店""",59668.0,江苏 南京,1
96,"""华为官方旗舰店""",21177.0,广东 深圳,1
97,"""福禄网游数卡专营店""",437.0,湖北 武汉,1
98,"""oppo官方旗舰店""",26180.0,广东 东莞,1
99,"""荣耀官方旗舰店""",29639.0,广东 深圳,1
100,"""华翼数码007""",5547.0,广东 深圳,1
101,"""伟业恒通数码专营店""",7277.0,广东 深圳,1
102,"""桐庐丽影贸易有限公司""",1426.0,广东 深圳,1
103,"""adfkfilemon""",1752.0,广东 深圳,1
104,"""三际数码官方旗舰店""",5778.0,山东 济南,1
105,"""淘杰翔数码专营店""",128633.0,广东 深圳,1
106,"""tb9173203_00""",1442.0,广东 广州,1
107,"""广东电信亿品汇专卖店""",4962.0,广东 深圳,1
